Equipo,Puntos,Peso,Tipo_Equipo,Fecha,Resultado_1X2,avg_Goles_esperados_(xG)_total,avg_Posesión_total,avg_Remates_a_puerta_total,avg_Córneres_total,avg_Tarjetas_amarillas_total,avg_Faltas_total,avg_Paradas_total,avg_Puntos_total,avg_Peso_total,avg_Pases_Pct_total,avg_Pases_Exitosos_total,avg_Ptos_total,avg_xG_Share_total,avg_Remates_Puerta_Share_total,avg_Corneres_Share_total,avg_Paradas_Share_total,avg_Pases_Exitosos_Share_total,avg_Goles_Share_total,avg_Puntos_Share_total,avg_Goles_esperados_(xG)_5,avg_Posesión_5,avg_Remates_a_puerta_5,avg_Córneres_5,avg_Tarjetas_amarillas_5,avg_Faltas_5,avg_Paradas_5,avg_Puntos_5,avg_Peso_5,avg_Pases_Pct_5,avg_Pases_Exitosos_5,avg_Ptos_5,avg_xG_Share_5,avg_Remates_Puerta_Share_5,avg_Corneres_Share_5,avg_Paradas_Share_5,avg_Pases_Exitosos_Share_5,avg_Goles_Share_5,avg_Puntos_Share_5
Bélgica,1734.71,1.0,Local,2026-06-15,2,1.889063829787234,0.608936170212766,5.9787234042553195,7.0212765957446805,1.5446808510638297,9.76595744680851,2.3191489361702127,1778.793829787234,1.0,0.8763829787234042,517.5106382978723,1.851063829787234,0.636096510764576,0.6424200330332996,0.673863440133778,0.36508397040311935,0.6419360766378445,0.6132725430597771,0.5532781199482257,2.332,0.592,7.8,8.0,1.0,10.0,1.8,1736.196,1.0,0.858,468.2,2.2,0.7089594800782194,0.6778354978354979,0.6120855614973262,0.34833333333333333,0.6072716045745009,0.6761904761904762,0.5660344400457584
Cabo Verde,1366.13,0.6,Visitante,2026-06-15,2,1.1695000000000002,0.5438888888888889,3.111111111111111,5.888888888888889,1.35,13.394444444444444,2.9722222222222223,1350.26,0.6,0.8133888888888889,379.2611111111111,1.5555555555555556,0.540507106815476,0.4865800865800865,0.5490515657182323,0.6019054769054769,0.5524695596030722,0.5666666666666667,0.5272420081295206,1.3092,0.55,4.0,4.6,1.46,11.52,1.9,1348.458,0.6,0.819,382.38,2.6,0.6444406444952543,0.6533333333333333,0.5214646464646465,0.5349549549549549,0.5561427995771135,0.8333333333333334,0.5375680465087306
Uruguay,1673.07,0.95,Visitante,2026-06-16,2,1.2178333333333333,0.5073333333333333,4.233333333333333,4.733333333333333,1.6866666666666668,12.733333333333333,2.8,1648.3280000000002,0.95,0.7376666666666666,307.56666666666666,1.5333333333333334,0.5245039702892627,0.5353683816183816,0.5415371665371665,0.48056536056536053,0.49910332413138747,0.5472222222222223,0.5179393066766086,1.2260000000000002,0.554,3.4,5.0,2.0,13.0,2.2,1673.25,0.95,0.8620000000000001,424.2,1.8,0.5524984586696815,0.6399999999999999,0.5168831168831168,0.4557142857142857,0.5631273398023561,0.7,0.5183518453686151
Nueva Zelanda,1281.57,0.7,Visitante,2026-06-16,2,1.2579999999999998,0.67,4.0,6.0,1.0,14.0,2.0,1206.07,0.7,0.83,488.0,0.0,0.6022020105313547,0.5714285714285714,0.8571428571428572,0.33333333333333337,0.7011494252873562,0.0,0.4451822705192754,1.2579999999999998,0.67,4.0,6.0,1.0,14.0,2.0,1206.07,0.7,0.83,488.0,0.0,0.6022020105313547,0.5714285714285714,0.8571428571428572,0.33333333333333337,0.7011494252873562,0.0,0.4451822705192754
Senegal,1688.99,0.6,Visitante,2026-06-16,2,1.7865555555555557,0.5855555555555556,6.277777777777778,6.138888888888889,1.5777777777777777,13.855555555555556,1.9555555555555557,1618.9491666666665,0.6,0.8498333333333333,438.6222222222222,2.3333333333333335,0.6961918190948411,0.6972730972730973,0.6427183927183927,0.3053546245103673,0.6129400952320846,0.7657407407407407,0.559626912446216,1.6722000000000001,0.6,6.8,6.8,2.8,13.7,2.4,1671.574,0.6,0.8712,484.08000000000004,2.4,0.6779630389394715,0.7357342657342658,0.5937673437673437,0.30852684144818976,0.6313701644388414,0.85,0.5351246483136236
Francia,1877.32,1.0,Local,2026-06-16,2,1.8974716981132076,0.5720754716981132,6.037735849056604,6.132075471698113,1.4679245283018867,10.20754716981132,2.0943396226415096,1816.5916981132075,1.0,0.8913207547169811,540.566037735849,2.0943396226415096,0.6691356334650254,0.6729408370640335,0.631319571413911,0.34094427584993625,0.5952882663487513,0.6973794549266247,0.5459098988206683,2.214,0.648,6.2,6.2,1.6,11.8,1.4,1867.268,1.0,0.89,540.4,2.6,0.698154963624951,0.7093506493506493,0.7063492063492063,0.2833333333333334,0.6745821092840583,0.7333333333333334,0.5571314150575063
Irán,1615.3,0.7,Local,2026-06-16,2,1.6872894736842106,0.5518421052631579,5.578947368421052,4.7105263157894735,1.8973684210526314,11.971052631578948,2.0421052631578944,1570.151052631579,0.7,0.8098421052631579,392.35263157894735,2.289473684210526,0.6544644335578448,0.6406779623884887,0.5964852399062925,0.3931512118965788,0.5713728954312656,0.7399122807017544,0.543709767762014,2.1446,0.58,6.8,3.6,2.06,13.36,1.52,1632.484,0.7,0.8392,416.93999999999994,2.0,0.7167943681690103,0.7444444444444445,0.5190909090909092,0.23697518443997315,0.6165702533519918,0.7,0.5432873031162944
Arabia Saudí,1421.43,0.7,Local,2026-06-16,2,1.3656444444444444,0.5873333333333334,3.977777777777778,4.355555555555555,1.8688888888888888,10.022222222222222,2.3555555555555556,1410.0857777777778,0.7,0.7573333333333333,390.9733333333333,1.7777777777777777,0.5734126936849885,0.5513235529902196,0.5019785153118487,0.473694885361552,0.5910566301087723,0.6174074074074074,0.5145003309577959,1.098,0.518,3.0,2.4,2.6,10.6,3.8,1423.844,0.7,0.8160000000000001,362.6,0.8,0.37493662582179066,0.3115151515151515,0.3476262626262626,0.7,0.5186848122006337,0.2866666666666667,0.49581899294873927
Croacia,1717.07,1.0,Visitante,2026-06-17,2,1.8399074074074075,0.5811111111111111,5.814814814814815,5.518518518518518,1.635185185185185,10.833333333333334,2.6666666666666665,1677.981111111111,1.0,0.8764814814814814,518.1296296296297,1.8888888888888888,0.6190688941542644,0.6111702884987198,0.572308555641889,0.4068094970872749,0.6120611215330508,0.6424382716049384,0.5363492803707621,2.2520000000000002,0.642,5.4,7.6,1.46,12.6,2.8,1713.652,1.0,0.892,487.2,2.4,0.6506291007117808,0.5516666666666666,0.6242307692307693,0.5290476190476191,0.6733007297078005,0.6533333333333333,0.5681353794716433
Austria,1593.45,1.0,Local,2026-06-17,2,1.824744680851064,0.578936170212766,5.574468085106383,4.638297872340425,1.721276595744681,12.23404255319149,1.9148936170212767,1549.0548936170212,1.0,0.8425531914893617,438.72340425531917,1.7446808510638299,0.6054899050904269,0.6076722661985491,0.5441523015991101,0.3597433299560959,0.6090289290366384,0.5862208713272543,0.5283806755801915,1.3619999999999999,0.604,3.6,4.0,1.4,13.6,0.6,1589.368,1.0,0.852,451.0,2.0,0.5935460533287403,0.6583333333333333,0.5383333333333333,0.3,0.6358687884678664,0.6666666666666666,0.5369693553988228
Jordania,1391.45,0.7,Visitante,2026-06-17,2,1.2897142857142858,0.45,4.321428571428571,5.928571428571429,1.7857142857142858,11.775,2.5107142857142857,1327.9796428571428,0.7,0.7502857142857142,298.2357142857143,1.7142857142857142,0.5427742029441357,0.5516867061509919,0.5965368460904176,0.474025129177354,0.4493184756291239,0.5898809523809524,0.5091389775763157,0.9442,0.392,2.8,5.2,1.8,12.08,2.66,1386.4140000000002,0.7,0.7807999999999999,258.41999999999996,1.2,0.49540644118089905,0.4333333333333333,0.535995115995116,0.6477946916471508,0.3778485701135383,0.5,0.4853395842886902
RD Congo,1478.35,0.6,Visitante,2026-06-17,2,1.20464,0.502,3.36,4.96,1.304,15.036,2.064,1410.32,0.6,0.81528,367.64,1.92,0.5505172083531251,0.5834627594627595,0.5703675213675213,0.48813298397508925,0.5012918238105096,0.7093333333333334,0.5254312231196168,1.6159999999999997,0.442,3.4,4.2,1.3199999999999998,16.8,2.2,1447.644,0.6,0.808,330.2,1.8,0.6069015725912278,0.5914285714285714,0.5604761904761905,0.4595238095238095,0.42991662123041985,0.7,0.5156747468783001
Argentina,1874.81,0.95,Local,2026-06-17,2,1.7417272727272728,0.6003030303030302,5.696969696969697,4.7272727272727275,1.6787878787878787,12.393939393939394,2.3636363636363638,1774.180303030303,0.95,0.8260606060606062,498.8181818181818,2.212121212121212,0.6505758834688169,0.6402472107017562,0.5940596440596441,0.4135637931092477,0.6218298097213336,0.76010101010101,0.5365895889230462,1.152,0.674,4.2,5.2,1.4,11.8,2.2,1880.7079999999999,0.95,0.9199999999999999,659.6,2.0,0.5587439109028205,0.5416666666666667,0.6933333333333334,0.5533333333333333,0.6971061750015769,0.6333333333333333,0.5698162527159191
Irak,1447.14,0.7,Local,2026-06-17,2,1.1772368421052632,0.5039473684210526,3.3421052631578947,4.657894736842105,1.4736842105263157,12.031578947368422,2.4657894736842105,1390.2436842105265,0.7,0.7817105263157894,327.05526315789473,1.7894736842105263,0.5205063155975321,0.5201738320159373,0.5632564803617435,0.5305735930735931,0.5138230759862804,0.6201754385964913,0.5204551162533946,0.8974,0.47000000000000003,2.8,3.4,1.4,12.52,3.54,1432.7320000000002,0.7,0.7956000000000001,296.26,2.2,0.4864616780407046,0.3844444444444445,0.5440079365079364,0.7323809523809525,0.461035561974676,0.6666666666666666,0.5283461459722061
Portugal,1763.83,1.0,Local,2026-06-17,2,2.2479814814814816,0.6066666666666666,6.351851851851852,6.796296296296297,1.8537037037037036,10.462962962962964,2.0925925925925926,1716.049074074074,1.0,0.8837037037037037,546.6296296296297,2.185185185185185,0.6963038601356508,0.682768245431644,0.6620307435623913,0.362622254288921,0.6403239281792961,0.6896384479717812,0.5421934884205555,2.386,0.694,7.0,6.6,1.2,7.0,2.0,1771.262,1.0,0.9040000000000001,596.0,1.6,0.6289479924596071,0.6664705882352941,0.7746825396825396,0.3085714285714286,0.7240880280207803,0.58,0.5446004323404268
Inglaterra,1825.97,1.0,Local,2026-06-17,2,1.9870961538461538,0.6440384615384616,5.788461538461538,5.615384615384615,1.3980769230769232,9.192307692307692,1.3846153846153846,1765.76,1.0,0.8969230769230769,581.9807692307693,2.0961538461538463,0.7295331148206452,0.7386974136974137,0.7242607819530897,0.2769459706959707,0.6755212165851391,0.7259615384615384,0.5563873716907305,1.6420000000000001,0.6719999999999999,5.8,7.6,0.8,8.4,1.2,1827.4560000000001,1.0,0.908,590.6,2.0,0.7205748848094865,0.7864285714285714,0.7560606060606061,0.215,0.6959443993103196,0.7,0.5576448118133783
Argelia,1564.26,0.6,Visitante,2026-06-17,2,1.8665806451612903,0.5570967741935484,6.193548387096774,5.806451612903226,1.835483870967742,14.980645161290322,2.429032258064516,1498.7009677419355,0.6,0.8438064516129032,417.84838709677416,2.3225806451612905,0.6584335272415556,0.6231697066374485,0.5716419333354817,0.4455880649067938,0.5710110930864306,0.7427035330261137,0.5530812953037515,1.0748,0.514,4.2,4.8,2.94,16.02,1.9200000000000004,1534.1860000000001,0.6,0.8463999999999998,400.32000000000005,1.6,0.5495523296769544,0.4333333333333334,0.48202020202020207,0.5781684981684981,0.519579542107184,0.55,0.5211946303687818
